City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Menongue,-14.6585,17.691,65.41,79,97,4.41,AO,1681425384
150,Nouadhibou,20.931,-17.0347,71.58,83,40,3.44,MR,1681425384
151,Departamento de Maldonado,-34.6667,-54.9167,60.13,68,20,5.91,UY,1681425384
152,The Valley,18.217,-63.0578,80.46,73,40,11.5,AI,1681425385
153,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,100,75,2.24,RU,1681425385
154,Rafaela,-31.2503,-61.4867,60.98,48,41,5.01,AR,1681425385
155,Mandurah,-32.55,115.7,57.56,62,75,25.12,AU,1681425262
156,Dunedin,-45.8742,170.5036,56.8,69,100,5.99,NZ,1681425386
157,Chifeng,42.2683,118.9636,46.92,36,34,3.8,CN,1681425386
158,Marsh Harbour,26.5412,-77.0636,76.44,80,6,15.21,BS,1681425386
159,Takoradze,4.8845,-1.7554,80.83,85,3,5.61,GH,1681425386
160,Aguada de Pasajeros,22.385,-80.8508,83.77,47,17,8.57,CU,1681425386
161,Fort Nelson,58.8053,-122.7002,45.99,34,75,5.75,CA,1681425387
162,Faanui,-16.4833,-151.75,81.77,71,16,7.87,PF,1681425387
163,Kem',64.9555,34.5793,8.37,95,4,3.62,RU,1681425387
164,Kushima,31.4583,131.2333,66.18,69,100,5.08,JP,1681425387
165,Chapais,49.7834,-74.8492,51.58,80,100,12.12,CA,1681425387
166,Moberly,39.4184,-92.4382,77.68,46,32,9.55,US,1681425387
167,Sulangan,11.1373,123.7228,81.63,76,52,5.48,PH,1681425387
168,Jūybār,36.6412,52.9124,59.02,85,20,4.88,IR,1681425387
169,Nizwá,22.9333,57.5333,77.85,51,21,1.45,OM,1681425388
170,Brae,60.3964,-1.353,43.11,87,88,15.08,GB,1681425388
171,Dikson,73.5069,80.5464,-14.33,100,94,8.52,RU,1681425239
172,Gualaquiza,-3.4,-78.55,68.34,93,69,1.19,EC,1681425388
173,Chimbarongo,-34.7,-71.05,68.88,48,100,3.51,CL,1681425388
174,Verkhnevilyuysk,63.4453,120.3167,17.08,92,80,3.62,RU,1681425388
175,Avera,33.194,-82.5271,66.25,88,91,14.41,US,1681425388
176,Kavaratti,10.5669,72.642,83.17,74,100,5.53,IN,1681425388
177,Plettenberg Bay,-34.0527,23.3716,59.86,77,0,11.97,ZA,1681425388
178,Penzance,50.1186,-5.5371,48.88,80,99,16.11,GB,1681425222
179,Cidreira,-30.1811,-50.2056,66.92,79,100,8.77,BR,1681425389
180,Salta,-24.7859,-65.4117,59.59,92,100,10.36,AR,1681425389
181,Kaitangata,-46.2817,169.8464,59.94,69,63,12.97,NZ,1681425389
